school_name,area,address,level,bus,AddmissionLast Date
Serangoon Garden Secondary School,South,"21 Serangoon North Avenue 1, Serangoon, S(555889)",Secondary,25;55;55A;73;74;76;76A;132;165;315,
,,,,,
Kranji Primary School,West,"11 Choa Chu Kang Street 54, Choa Chu Kang, S(689189)",Primary,307;302,
,,,,,
,,,,,
,,,,,
Marsiling Secondary School,North,"12 Marsiling Road, Woodlands, S(739110)",Secondary,913;911,
    zhonghua primary school,South,"12 Serangoon Avenue 4, Serangoon, S(556095)",Primary,22;24;53;105;156;315;853;501;70;76;103;147;502,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yuan Ching Secondary School,West,"103 Yuan Ching Road, Jurong West, S(618654)",Secondary,154;240;246;98;180;182;187,
Keming Primary School,West,"90 Bukit Batok East Avenue 6, Bukit Batok, S(659762)",Primary,61;66;77;106;157;174;178;963,
Hong Wen School,South,"30 Towner Road, Kallang, S(327829)",Primary,13;23;31;64;65;66;125;133;147;857;21;130;139;145,
Woodlands Ring Secondary School,North,"10 Woodlands Ring Road, Woodlands, S(738239)",Secondary,912,
,,,,,
West Spring Secondary School,West,"61 Senja  Road, Bukit Panjang, S(677737)",Secondary,920;972,
,,,,,
,,,,,
,,,,,
,,,,,
Henry Park Primary School,West,"1 Holland Grove Road, Bukit Timah, S(278790)",Primary,7;61;75;156;157;165;92,
Chij Primary (Toa Payoh),South,"628 Lorong 1 Toa Payoh, Toa Payoh, S(319765)",Primary,59;231;141,
"School Of The Arts, Singapore",South,"1 Zubir Said Drive, Central, S(227968)",Mixed Level,7;14;16;36;64;65;77;106;111;124;128;131;147;162;166;167;171;174;175;190;502;518;700;857,
Edgefield Primary School,North,"41 Edgefield Plains, Punggol, S(828869)",Primary,3;34;62;82;83;136,
,,,,,
,,,,,
Gan Eng Seng School,South,"1 Henderson Road, Bukit Merah, S(159561)",Secondary,14;16;32;33;51;63;64;120;122;145;139;186;851;970,
,,,,,
Waterway Primary School,East,"70 Punggol Drive, Punggol, S(828802)",Primary,50,
,,,,,
,,,,,
,,,,,
,,,,,
HONG KAH SECONDARY SCHOOL,West,"931 Jurong West Street 42, Jurong West, S(649370)",Secondary,49;98;98A;99;157;185;187;198;334;502,
Bukit View Secondary School,West,"16 Bukit Batok Street 21, Bukit Batok, S(659633)",Secondary,173;189;990,
,,,,,
,,,,,
Eunos Primary School,East,"95 Jalan Eunos, Geylang, S(419529)",Primary,15;21;25;51;55;63;93;94;60;61;854;966,
,,,,,
Holy Innocents' Primary School,South,"4300 Ang Mo Kio Avenue 5, Hougang, S(569869)",Primary,51;72;80;101;119;132;136;153,
SOUTH VIEW PRIMARY SCHOOL,West,"6 Choa Chu Kang Central, Choa Chu Kang, S(689762)",Primary,,
VICTORIA JUNIOR COLLEGE,East,"20 Marine Vista, Bedok, S(449035)",Junior College,13;16;31;36;43;48;55;135;196;196e;197,
,,,,,
